x,y,Rules,class,coverage
31.87930679,7.943945408,115,2,0.857142857
-13.87332439,33.05010986,116,0,1
13.49904251,29.74886513,117,1,0.914285714
5.324557781,-14.93971539,118,2,0.057142857
-24.03211784,-30.37791443,119,1,0.057142857
24.16384888,-16.14188576,120,2,0.028571429
1.728245974,-39.2889328,121,1,0.028571429
30.40166092,27.83707047,122,2,0.057142857
31.99718094,8.670087814,123,2,0.857142857
-12.99527168,34.40364838,124,0,1
10.26877499,32.89343262,125,1,0.914285714
-27.48833275,13.0788269,126,2,0.114285714
6.188124657,-12.31036663,127,2,0.057142857
7.183125973,6.70335722,128,1,0.028571429
-22.1419735,3.478880882,129,2,0.114285714
2.668210745,-37.11769867,130,1,0.028571429
-14.78099632,3.083901882,131,2,0.028571429
-12.25075054,-19.23687744,132,1,0.028571429
45.80054474,-0.135766715,133,2,0.685714286
-12.10852814,33.80516815,134,0,1
-24.79161263,-2.820789576,135,2,0.028571429
-16.45831299,-0.343709737,136,1,0.028571429
11.20925999,29.6348629,137,1,0.914285714
12.27348232,6.620466709,138,1,0.028571429
11.9649725,-10.83659077,139,2,0.028571429
23.30916977,-16.29077721,140,2,0.028571429
29.86291695,28.33095551,141,2,0.057142857
2.312138796,-38.89161301,142,1,0.028571429
31.99198914,7.998084068,143,2,0.857142857
-11.28785038,33.06258392,144,0,1
10.26899719,32.8952713,145,1,0.914285714
6.421656132,-15.5802412,146,2,0.057142857
-24.16954231,-29.9509182,147,1,0.057142857
24.06176758,-16.8281517,148,2,0.028571429
3.352451086,-40.68741226,149,1,0.028571429
-28.53188896,13.66829967,150,2,0.142857143
50.49096298,3.542987585,151,2,0.771428571
-10.80255604,32.45675278,152,0,1
9.305493355,33.01988983,153,1,0.914285714
-30.75626373,-6.029114723,154,2,0.028571429
8.029244423,-15.30950928,155,2,0.028571429
-24.0496521,-30.35809898,156,1,0.057142857
23.31946564,-15.66648197,157,2,0.028571429
1.783708334,-38.61764908,158,1,0.028571429
30.52232552,27.87154961,159,2,0.057142857
32.13814163,8.42919445,160,2,0.857142857
-12.49601841,33.40520096,161,0,1
7.405679703,22.59292603,162,1,0.657142857
-28.69284058,13.82231617,163,2,0.142857143
-30.73078537,-6.422776222,164,2,0.028571429
12.2700367,6.619876862,165,1,0.028571429
-22.66612053,2.619919777,166,2,0.028571429
2.495712042,-39.81900406,167,1,0.028571429
-10.89159203,-2.627913237,168,1,0.257142857
9.955037117,-14.47095585,169,2,0.057142857
-16.00769424,-19.9313488,170,1,0.028571429
49.61264038,2.747649193,171,2,0.742857143
-15.5854311,40.09850311,172,0,0.885714286
-18.21751785,-5.615049839,173,1,0.085714286
-12.43946648,8.43896389,174,0,0.114285714
9.377197266,28.57827377,175,1,0.828571429
-22.12792778,3.787298441,176,2,0.171428571
-26.8132267,12.28839111,177,2,0.085714286
11.96456814,-10.83656693,178,2,0.028571429
